[ 00:00:02.050 -->  00:00:39.563] L SPEAKER_04
[ 00:00:40.508 -->  00:01:05.449] Q SPEAKER_05
[ 00:01:05.449 -->  00:01:10.630] V SPEAKER_06
[ 00:01:11.271 -->  00:01:15.996] W SPEAKER_06
[ 00:01:16.452 -->  00:01:21.885] R SPEAKER_05
[ 00:01:22.037 -->  00:01:28.838] C SPEAKER_01
[ 00:01:29.699 -->  00:01:34.559] D SPEAKER_01
[ 00:01:35.993 -->  00:01:50.438] E SPEAKER_01
[ 00:01:50.505 -->  00:01:55.737] S SPEAKER_05
[ 00:01:55.737 -->  00:01:58.167] A SPEAKER_00
[ 00:01:58.167 -->  00:02:00.664] F SPEAKER_01
[ 00:02:00.394 -->  00:02:14.586] B SPEAKER_00
[ 00:02:15.177 -->  00:02:24.002] T SPEAKER_05
[ 00:02:24.002 -->  00:02:42.143] G SPEAKER_02
[ 00:02:42.143 -->  00:02:56.453] U SPEAKER_05
[ 00:02:57.449 -->  00:03:11.505] M SPEAKER_04
[ 00:03:12.197 -->  00:03:38.927] H SPEAKER_03
[ 00:03:38.894 -->  00:03:43.686] N SPEAKER_04
[ 00:03:44.682 -->  00:04:08.999] I SPEAKER_03
[ 00:04:08.999 -->  00:04:16.289] O SPEAKER_04
[ 00:04:17.335 -->  00:04:47.102] J SPEAKER_03
[ 00:04:48.165 -->  00:04:58.864] P SPEAKER_04
[ 00:04:59.640 -->  00:05:31.450] K SPEAKER_03
